type,date,deviceid,roomno,reading
temperature,2015-02-13T16:46:10.0758225Z,temperature0,0,21.83
energy,2015-02-13T16:46:10.4931181Z,energy0,0,3637
humidity,2015-02-13T16:46:10.5001233Z,humidity0,0,65
light,2015-02-13T16:46:10.5056269Z,light0,0,1580
temperature,2015-02-13T16:46:10.6347187Z,temperature1,0,28.33
energy,2015-02-13T16:46:10.6347187Z,energy1,0,2069
humidity,2015-02-13T16:46:10.6347187Z,humidity1,0,64
light,2015-02-13T16:46:10.6347187Z,light1,0,139
temperature,2015-02-13T16:46:10.6427248Z,temperature2,0,25.49
energy,2015-02-13T16:46:10.6427248Z,energy2,0,4532
humidity,2015-02-13T16:46:10.6427248Z,humidity2,0,56
light,2015-02-13T16:46:10.6432242Z,light2,0,1202
temperature,2015-02-13T16:46:10.6482289Z,temperature3,0,62.35
energy,2015-02-13T16:46:10.6487291Z,energy3,0,11788
humidity,2015-02-13T16:46:10.6487291Z,humidity3,0,57
light,2015-02-13T16:46:10.6487291Z,light3,0,1519
temperature,2015-02-13T16:46:10.6542331Z,temperature4,0,20.51
energy,2015-02-13T16:46:10.6542331Z,energy4,0,2088
humidity,2015-02-13T16:46:10.6542331Z,humidity4,0,61
light,2015-02-13T16:46:10.6542331Z,light4,0,1780
temperature,2015-02-13T16:46:10.6597367Z,temperature5,0,23.74
energy,2015-02-13T16:46:10.6597367Z,energy5,0,2094
humidity,2015-02-13T16:46:10.6602374Z,humidity5,0,86
light,2015-02-13T16:46:10.6602374Z,light5,0,162
temperature,2015-02-13T16:46:10.6652407Z,temperature6,0,20.55
energy,2015-02-13T16:46:10.6652407Z,energy6,0,3244
humidity,2015-02-13T16:46:10.6652407Z,humidity6,0,85
light,2015-02-13T16:46:10.6652407Z,light6,0,1468
temperature,2015-02-13T16:46:10.6717452Z,temperature7,0,24.97
energy,2015-02-13T16:46:10.6717452Z,energy7,0,3849
humidity,2015-02-13T16:46:10.6717452Z,humidity7,0,62
light,2015-02-13T16:46:10.6717452Z,light7,0,544
temperature,2015-02-13T16:46:10.6772492Z,temperature8,0,31.17
energy,2015-02-13T16:46:10.6772492Z,energy8,0,4558
humidity,2015-02-13T16:46:10.6772492Z,humidity8,0,61
light,2015-02-13T16:46:10.6772492Z,light8,0,505
temperature,2015-02-13T16:46:10.6827533Z,temperature9,0,27.11
energy,2015-02-13T16:46:10.6827533Z,energy9,0,4321
humidity,2015-02-13T16:46:10.6827533Z,humidity9,0,55
light,2015-02-13T16:46:10.6827533Z,light9,0,1305
temperature,2015-02-13T16:46:10.6897580Z,temperature0,1,23.66
energy,2015-02-13T16:46:10.6897580Z,energy0,1,3741
humidity,2015-02-13T16:46:10.6897580Z,humidity0,1,40
light,2015-02-13T16:46:10.6897580Z,light0,1,120
temperature,2015-02-13T16:46:10.6952616Z,temperature1,1,23.58
energy,2015-02-13T16:46:10.6952616Z,energy1,1,2930
humidity,2015-02-13T16:46:10.6952616Z,humidity1,1,42
light,2015-02-13T16:46:10.6952616Z,light1,1,35
temperature,2015-02-13T16:46:10.7012659Z,temperature2,1,22.5
energy,2015-02-13T16:46:10.7012659Z,energy2,1,4833
humidity,2015-02-13T16:46:10.7012659Z,humidity2,1,44
light,2015-02-13T16:46:10.7012659Z,light2,1,867
temperature,2015-02-13T16:46:10.7092715Z,temperature3,1,75.57
energy,2015-02-13T16:46:10.7092715Z,energy3,1,8064
humidity,2015-02-13T16:46:10.7092715Z,humidity3,1,56
light,2015-02-13T16:46:10.7092715Z,light3,1,382
temperature,2015-02-13T16:46:10.7152758Z,temperature4,1,24.53
energy,2015-02-13T16:46:10.7152758Z,energy4,1,3623
humidity,2015-02-13T16:46:10.7152758Z,humidity4,1,70
light,2015-02-13T16:46:10.7152758Z,light4,1,1388
temperature,2015-02-13T16:46:10.7217803Z,temperature5,1,25.98
energy,2015-02-13T16:46:10.7217803Z,energy5,1,4279
humidity,2015-02-13T16:46:10.7217803Z,humidity5,1,125
light,2015-02-13T16:46:10.7217803Z,light5,1,1794
temperature,2015-02-13T16:46:10.7277846Z,temperature6,1,22.4
